landmarks_found,execution_time,image_size,shape,dtype,date,filename,content_type
"[x: 0.5630761384963989
y: 0.26635557413101196
z: -0.5345115661621094
, x: 0.5796111226081848
y: 0.22161352634429932
z: -0.5076709389686584
, x: 0.5942541360855103
y: 0.21751797199249268
z: -0.5078506469726562
, x: 0.6062508821487427
y: 0.2139657735824585
z: -0.508101761341095
, x: 0.5425573587417603
y: 0.23193669319152832
z: -0.48145443201065063
, x: 0.533534824848175
y: 0.23393195867538452
z: -0.48157986998558044
, x: 0.5264556407928467
y: 0.23549813032150269
z: -0.48170047998428345
, x: 0.6263831853866577
y: 0.2249051332473755
z: -0.30578696727752686
, x: 0.5208319425582886
y: 0.2444605827331543
z: -0.17916110157966614
, x: 0.5934056639671326
y: 0.3032815456390381
z: -0.45136451721191406
, x: 0.5488796830177307
y: 0.3062032461166382
z: -0.41533586382865906
, x: 0.7193507552146912
y: 0.45589467883110046
z: -0.19405131042003632
, x: 0.4659543037414551
y: 0.40793079137802124
z: -0.041412461549043655
, x: 0.7654241919517517
y: 0.6556344032287598
z: -0.39977550506591797
, x: 0.2699412703514099
y: 0.409198522567749
z: -0.10760223865509033
, x: 0.8413156270980835
y: 0.5124692916870117
z: -0.7693158984184265
, x: 0.16718518733978271
y: 0.17926818132400513
z: -0.394860178232193
, x: 0.8930222988128662
y: 0.4943644404411316
z: -0.8454973697662354
, x: 0.13138633966445923
y: 0.10500097274780273
z: -0.44850024580955505
, x: 0.8934292793273926
y: 0.4678516387939453
z: -0.8747619986534119
, x: 0.13446512818336487
y: 0.08674424886703491
z: -0.48128774762153625
, x: 0.875676155090332
y: 0.47460687160491943
z: -0.7941306829452515
, x: 0.15609470009803772
y: 0.11461913585662842
z: -0.4225224256515503
, x: 0.6084679961204529
y: 0.886088490486145
z: -0.026494180783629417
, x: 0.45990824699401855
y: 0.8410061001777649
z: 0.02656426467001438
, x: 0.6075072884559631
y: 0.8988434076309204
z: -0.22553837299346924
, x: 0.4375501573085785
y: 0.6569018363952637
z: -0.13270190358161926
, x: 0.5084950923919678
y: 1.1204754114151
z: -0.05110935494303703
, x: 0.40142586827278137
y: 0.9726405739784241
z: -0.10900036245584488
, x: 0.49924248456954956
y: 1.1575467586517334
z: -0.024025438353419304
, x: 0.40679267048835754
y: 1.0312758684158325
z: -0.09991723299026489
, x: 0.4636997580528259
y: 1.1793005466461182
z: -0.11079522967338562
, x: 0.3609502613544464
y: 1.0434613227844238
z: -0.18068955838680267
]",0.20000219345092773,3724500,"(955, 1300, 3)",uint8,Mon Nov 20 18:25:33 2023,person.jpg,image/jpeg
"[x: 0.5496513247489929
y: 0.16383454203605652
z: -0.9602881669998169
, x: 0.5600340366363525
y: 0.14510855078697205
z: -0.9450727701187134
, x: 0.5650995969772339
y: 0.1460927426815033
z: -0.945072591304779
, x: 0.57010418176651
y: 0.1469704806804657
z: -0.9450520277023315
, x: 0.5404745936393738
y: 0.14115887880325317
z: -0.9495646953582764
, x: 0.5323827266693115
y: 0.1401388943195343
z: -0.9498656392097473
, x: 0.5251640677452087
y: 0.13944080471992493
z: -0.9498819708824158
, x: 0.5763614177703857
y: 0.15367618203163147
z: -0.7545464634895325
, x: 0.5156770944595337
y: 0.14460545778274536
z: -0.7751426100730896
, x: 0.559307873249054
y: 0.18704700469970703
z: -0.8814433813095093
, x: 0.5335076451301575
y: 0.18502861261367798
z: -0.8872268199920654
, x: 0.615601122379303
y: 0.2492210865020752
z: -0.5518666505813599
, x: 0.46029794216156006
y: 0.23244783282279968
z: -0.5740290880203247
, x: 0.7211959362030029
y: 0.324390709400177
z: -0.5504025220870972
, x: 0.34939923882484436
y: 0.2661460041999817
z: -0.597710907459259
, x: 0.8458369970321655
y: 0.36817336082458496
z: -0.7057301998138428
, x: 0.23008650541305542
y: 0.27178284525871277
z: -0.7414506673812866
, x: 0.8746033906936646
y: 0.3776457607746124
z: -0.743106484413147
, x: 0.19885975122451782
y: 0.26464247703552246
z: -0.7770601511001587
, x: 0.8729705810546875
y: 0.37405329942703247
z: -0.7989506721496582
, x: 0.19727090001106262
y: 0.26121652126312256
z: -0.8336646556854248
, x: 0.8608822822570801
y: 0.3716897964477539
z: -0.7368554472923279
, x: 0.20563697814941406
y: 0.2651480734348297
z: -0.7714719176292419
, x: 0.5720149874687195
y: 0.47267600893974304
z: 0.006004735361784697
, x: 0.4818649888038635
y: 0.4695834517478943
z: -0.00569427153095603
, x: 0.6110893487930298
y: 0.6832191348075867
z: 0.05916494131088257
, x: 0.392362117767334
y: 0.6487152576446533
z: -0.035651419311761856
, x: 0.6538127064704895
y: 0.8138065338134766
z: 0.4093458652496338
, x: 0.325351357460022
y: 0.8024672269821167
z: 0.26424235105514526
, x: 0.6472558379173279
y: 0.8305373191833496
z: 0.43516114354133606
, x: 0.3316965103149414
y: 0.8302266597747803
z: 0.2846859395503998
, x: 0.6872447729110718
y: 0.8778316974639893
z: 0.25585779547691345
, x: 0.2712225019931793
y: 0.8365613222122192
z: 0.08873467147350311
]",0.3345472812652588,1320795,"(599, 735, 3)",uint8,Mon Nov 20 18:33:00 2023,baile.png,image/png
"[x: 0.512319028377533
y: 0.1903599500656128
z: -0.4156530797481537
, x: 0.5264183878898621
y: 0.1615840196609497
z: -0.39185675978660583
, x: 0.5367269515991211
y: 0.1615481972694397
z: -0.3921154737472534
, x: 0.5456469058990479
y: 0.1615939736366272
z: -0.39233967661857605
, x: 0.49987155199050903
y: 0.16281366348266602
z: -0.3687172532081604
, x: 0.49303117394447327
y: 0.1639087200164795
z: -0.3687130808830261
, x: 0.4875614047050476
y: 0.16523510217666626
z: -0.36848536133766174
, x: 0.5602309703826904
y: 0.17275631427764893
z: -0.23233044147491455
, x: 0.48181772232055664
y: 0.1784987449645996
z: -0.12709680199623108
, x: 0.532728910446167
y: 0.22142457962036133
z: -0.3573095500469208
, x: 0.5006498694419861
y: 0.22195512056350708
z: -0.32703614234924316
, x: 0.627010703086853
y: 0.3349919021129608
z: -0.1833164542913437
, x: 0.4417189955711365
y: 0.3549547791481018
z: -0.01702224835753441
, x: 0.7528190612792969
y: 0.40801218152046204
z: -0.22551052272319794
, x: 0.40238356590270996
y: 0.5098361372947693
z: -0.30699673295021057
, x: 0.794493556022644
y: 0.6275860071182251
z: -0.31052640080451965
, x: 0.4469807744026184
y: 0.2975943684577942
z: -0.7012369632720947
, x: 0.8124046325683594
y: 0.6767421364784241
z: -0.3211314082145691
, x: 0.46024924516677856
y: 0.25201165676116943
z: -0.752783477306366
, x: 0.8017874956130981
y: 0.6824148893356323
z: -0.3479948341846466
, x: 0.46404194831848145
y: 0.2394198775291443
z: -0.7290850281715393
, x: 0.7932833433151245
y: 0.6684269309043884
z: -0.31684771180152893
, x: 0.4626217782497406
y: 0.2583792209625244
z: -0.70064377784729
, x: 0.5864629149436951
y: 0.7962156534194946
z: -0.0915699228644371
, x: 0.48154234886169434
y: 0.7971123456954956
z: 0.09148681163787842
, x: 0.5497469305992126
y: 0.9919865727424622
z: -0.5444486737251282
, x: 0.4547322988510132
y: 1.0608505010604858
z: -0.12917980551719666
, x: 0.5850287079811096
y: 1.083359718322754
z: 0.06035103648900986
, x: 0.5144377946853638
y: 1.069576621055603
z: 0.5381332635879517
, x: 0.5978406071662903
y: 1.0841635465621948
z: 0.12403742969036102
, x: 0.5326613783836365
y: 1.06332266330719
z: 0.6076592803001404
, x: 0.5538164973258972
y: 1.1412699222564697
z: 0.052241090685129166
, x: 0.49934256076812744
y: 1.1312742233276367
z: 0.5963231325149536
]",0.21699857711791992,18000000,"(2000, 3000, 3)",uint8,Mon Nov 20 18:33:45 2023,person2.jpg,image/jpeg
"[x: 0.5630761384963989
y: 0.26635557413101196
z: -0.5345115661621094
, x: 0.5796111226081848
y: 0.22161352634429932
z: -0.5076709389686584
, x: 0.5942541360855103
y: 0.21751797199249268
z: -0.5078506469726562
, x: 0.6062508821487427
y: 0.2139657735824585
z: -0.508101761341095
, x: 0.5425573587417603
y: 0.23193669319152832
z: -0.48145443201065063
, x: 0.533534824848175
y: 0.23393195867538452
z: -0.48157986998558044
, x: 0.5264556407928467
y: 0.23549813032150269
z: -0.48170047998428345
, x: 0.6263831853866577
y: 0.2249051332473755
z: -0.30578696727752686
, x: 0.5208319425582886
y: 0.2444605827331543
z: -0.17916110157966614
, x: 0.5934056639671326
y: 0.3032815456390381
z: -0.45136451721191406
, x: 0.5488796830177307
y: 0.3062032461166382
z: -0.41533586382865906
, x: 0.7193507552146912
y: 0.45589467883110046
z: -0.19405131042003632
, x: 0.4659543037414551
y: 0.40793079137802124
z: -0.041412461549043655
, x: 0.7654241919517517
y: 0.6556344032287598
z: -0.39977550506591797
, x: 0.2699412703514099
y: 0.409198522567749
z: -0.10760223865509033
, x: 0.8413156270980835
y: 0.5124692916870117
z: -0.7693158984184265
, x: 0.16718518733978271
y: 0.17926818132400513
z: -0.394860178232193
, x: 0.8930222988128662
y: 0.4943644404411316
z: -0.8454973697662354
, x: 0.13138633966445923
y: 0.10500097274780273
z: -0.44850024580955505
, x: 0.8934292793273926
y: 0.4678516387939453
z: -0.8747619986534119
, x: 0.13446512818336487
y: 0.08674424886703491
z: -0.48128774762153625
, x: 0.875676155090332
y: 0.47460687160491943
z: -0.7941306829452515
, x: 0.15609470009803772
y: 0.11461913585662842
z: -0.4225224256515503
, x: 0.6084679961204529
y: 0.886088490486145
z: -0.026494180783629417
, x: 0.45990824699401855
y: 0.8410061001777649
z: 0.02656426467001438
, x: 0.6075072884559631
y: 0.8988434076309204
z: -0.22553837299346924
, x: 0.4375501573085785
y: 0.6569018363952637
z: -0.13270190358161926
, x: 0.5084950923919678
y: 1.1204754114151
z: -0.05110935494303703
, x: 0.40142586827278137
y: 0.9726405739784241
z: -0.10900036245584488
, x: 0.49924248456954956
y: 1.1575467586517334
z: -0.024025438353419304
, x: 0.40679267048835754
y: 1.0312758684158325
z: -0.09991723299026489
, x: 0.4636997580528259
y: 1.1793005466461182
z: -0.11079522967338562
, x: 0.3609502613544464
y: 1.0434613227844238
z: -0.18068955838680267
]",0.156996488571167,3724500,"(955, 1300, 3)",uint8,Mon Nov 20 18:34:47 2023,person.jpg,image/jpeg
